biomarker_id,biomarker_name,raw_col,label,unit,source_table
1,albumin_urine,URXUMA,"Albumin, urine",ug/mL,raw_urine_albcr
2,albumin_urine,URXUMS,"Albumin, urine",mg/L,raw_urine_albcr
3,albumin_urine_comment_code,URDUMALC,"Albumin, urine comment code",,raw_urine_albcr
4,creatinine_urine,URXUCR,"Creatinine, urine",mg/dL,raw_urine_albcr
5,creatinine_urine,URXCRS,"Creatinine, urine",umol/L,raw_urine_albcr
6,creatinine_urine_comment_code,URDUCRLC,"Creatinine, urine comment code",,raw_urine_albcr
7,albumin_creatinine_ratio,URDACT,Albumin creatinine ratio,mg/g,raw_urine_albcr
8,surplus_specimen_agp_weights_prepandemic,WTSSAGPP,Surplus specimen AGP weights prepandemic,,raw_blood_agp
9,alpha1acid_glycoprotein,SSAGP,Alpha-1-Acid Glycoprotein,g/L,raw_blood_agp
10,arsenic_total_urine,URXUAS,"Arsenic, Total - Urine",ug/L,raw_total_arsenic
11,arsenic_total_urine_comment_code,URDUASLC,"Arsenic, Total - Urine Comment Code",,raw_total_arsenic
12,urinary_arsenous_acid,URXUAS3,Urinary Arsenous acid,ug/L,raw_speciated_arsenic
13,urinary_arsenous_acid_comment_code,URDUA3LC,Urinary Arsenous acid comment code,,raw_speciated_arsenic
14,urinary_arsenic_acid,URXUAS5,Urinary Arsenic acid,ug/L,raw_speciated_arsenic
15,urinary_arsenic_acid_comment_code,URDUA5LC,Urinary Arsenic acid comment code,,raw_speciated_arsenic
16,urinary_arsenobetaine,URXUAB,Urinary Arsenobetaine,ug/L,raw_speciated_arsenic
17,urinary_arsenobetaine_comment_code,URDUABLC,Urinary Arsenobetaine comment code,,raw_speciated_arsenic
18,urinary_arsenocholine,URXUAC,Urinary Arsenocholine,ug/L,raw_speciated_arsenic
19,urinary_arsenocholine_comment_code,URDUACLC,Urinary Arsenocholine comment code,,raw_speciated_arsenic
20,urinary_dimethylarsinic_acid,URXUDMA,Urinary Dimethylarsinic acid,ug/L,raw_speciated_arsenic
21,urinary_dimethylarsinic_acid_comment,URDUDALC,Urinary Dimethylarsinic acid comment,,raw_speciated_arsenic
22,urinary_monomethylarsonic_acid,URXUMMA,Urinary Monomethylarsonic acid,ug/L,raw_speciated_arsenic
23,urinary_monomethylarsonic_acid_comment,URDUMMAL,Urinary Monomethylarsonic acid comment,,raw_speciated_arsenic
24,direct_hdlcholesterol,LBDHDD,Direct HDL-Cholesterol,mg/dL,raw_blood_hdl
25,triglyceride,LBXTR,Triglyceride,mg/dL,raw_blood_triglyceride
26,ldlcholesterol_friedewald,LBDLDL,"LDL-Cholesterol, Friedewald",mg/dL,raw_blood_triglyceride
27,ldlcholesterol_martinhopkins,LBDLDLM,"LDL-Cholesterol, Martin-Hopkins",mg/dL,raw_blood_triglyceride
28,ldlcholesterol_nih_equation_2,LBDLDLN,"LDL-Cholesterol, NIH equation 2",mg/dL,raw_blood_triglyceride
29,total_cholesterol,LBXTC,Total Cholesterol,mg/dL,raw_blood_total_cholesterol
30,chromium_urine,URXUCM,"Chromium, Urine",ug/L,raw_chromium
31,chromium_urine_comment_code,URDUCMLC,"Chromium, Urine Comment Code",,raw_chromium
32,chromium,LBXBCR,Chromium,ug/L,raw_blood_chromium_cobalt
33,chromium_comment_code,LBDBCRLC,Chromium Comment Code,,raw_blood_chromium_cobalt
34,cobalt,LBXBCO,Cobalt,ug/L,raw_blood_chromium_cobalt
35,cobalt_comment_code,LBDBCOLC,Cobalt Comment Code,,raw_blood_chromium_cobalt
36,lymphocyte_percent,LBXLYPCT,Lymphocyte percent,%,raw_blood_cbc
37,monocyte_percent,LBXMOPCT,Monocyte percent,%,raw_blood_cbc
38,segmented_neutrophils_percent,LBXNEPCT,Segmented neutrophils percent,%,raw_blood_cbc
39,eosinophils_percent,LBXEOPCT,Eosinophils percent,%,raw_blood_cbc
40,basophils_percent,LBXBAPCT,Basophils percent,%,raw_blood_cbc
41,lymphocyte_number,LBDLYMNO,Lymphocyte number,1000 cells/uL,raw_blood_cbc
42,monocyte_number,LBDMONO,Monocyte number,1000 cells/uL,raw_blood_cbc
43,segmented_neutrophils_num,LBDNENO,Segmented neutrophils num,1000 cell/uL,raw_blood_cbc
44,eosinophils_number,LBDEONO,Eosinophils number,1000 cells/uL,raw_blood_cbc
45,basophils_number,LBDBANO,Basophils number,1000 cells/uL,raw_blood_cbc
46,hemoglobin,LBXHGB,Hemoglobin,g/dL,raw_blood_cbc
47,hematocrit,LBXHCT,Hematocrit,%,raw_blood_cbc
48,mean_cell_hgb_conc,LBXMC,Mean Cell Hgb Conc.,g/dL,raw_blood_cbc
49,red_cell_distribution_width,LBXRDW,Red cell distribution width,%,raw_blood_cbc
50,nucleated_red_blood_cells,LBXNRBC,Nucleated red blood cells,/100 WBC,raw_blood_cbc
51,cotinine_serum,LBXCOT,"Cotinine, Serum",ng/mL,raw_blood_cotinine
52,cotinine_serum_comment_code,LBDCOTLC,"Cotinine, Serum Comment Code",,raw_blood_cotinine
53,hydroxycotinine_serum,LBXHCOT,"Hydroxycotinine, Serum",ng/mL,raw_blood_cotinine
54,hydroxycotinine_serum_comment_code,LBDHCOLC,"Hydroxycotinine, Serum Comment Code",,raw_blood_cotinine
55,cytomegalovirus_cmv_igg,LBXIGG,Cytomegalovirus (CMV) IgG,,raw_blood_cmv
56,cytomegalovirus_cmv_igm,LBXIGM,Cytomegalovirus (CMV) IgM,,raw_blood_cmv
